pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
1	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	NEUTRAL	4.5	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN
2	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	NEUTRAL	3.2	A_contradicts_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN
3	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	ENTAILMENT	4.7	A_entails_B	B_entails_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
4	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRIAL
5	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
6	There is no boy playing outdoors and there is no man smiling	A group of kids is playing in a yard and an old man is standing in the background	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TEST
7	A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoors and the man is smiling nearby	NEUTRAL	3.7	A_neutral_B	B_neutral_A	The children are playing outdoors, while a man smiles nearby.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TEST
8	A group of children is playing in the house and there is no man standing in the background	The young boys are playing outdoors and the man is smiling nearby	NEUTRAL	3	A_neutral_B	B_contradicts_A	The children are playing outdoors, while a man smiles nearby.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TEST
9	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
10	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
11	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	NEUTRAL	3.665	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
12	Two dogs are fighting	Two dogs are wrestling and hugging	NEUTRAL	4	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
13	Two dogs are wrestling and hugging	There is no dog wrestling and hugging	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
14	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
15	A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging	NEUTRAL	2.7	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
16	Two dogs are wrestling and hugging	A brown dog is attacking another animal in front of the tall man in pants	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
17	Two dogs are wrestling and hugging	A brown dog is helping another animal in front of the man in pants	NEUTRAL	2.3	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
18	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
19	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
20	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
21	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	NEUTRAL	3	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
22	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
